,NUM,Site,SiteNum.x,SITE_ID,SingleCollection,NewOld,NumCollections.x,ParsonsCollectionSheets,NumCollectionsAtSite,MissingCollections,Notes,Surveyor,Site,Collections.x,East,North,Long,Lat,SurvReg,CA_Size1,CA_Size2,Occu_EA,Occu_LA,Area_EA,Pop_EA,Area_LA,Pop_LA,HM_TOTAL,SiteNum.y,Provenience,TempSite,ProvenienceNum,MissingData,Pars_TOTAL,Collections.y,NumCollections.y
74,NA,TX-A-88,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,TX-A-88 [TX-A-12] Coatlichan Tl. 51,TX-A-12,278,FALSE,302,Tl. 51,1
55,56,TX-A-99,99,1099,FALSE,Old,3,3,3,0,,RH 1967,TX-A-99,"Locs. 48, 51; Tl. 171",516369.7999,2143359.239,-98.84410606,19.38431411,TX,8700,8700,1,1,85,2500,85,2500,84,99,"TX-A-99 [TX-A-11], RH 1967 ', Loc. 48, TX-A-99 [TX-A-11], RH 1967 ', Loc. 51, TX-A-99 [TX-A-11], RH 1967, Tl. 171",TX-A-11,"199, 200, 201",FALSE,110,"Loc. 48, Loc. 51, Tl. 171",3
56,57,TX-A-100,100,1100,FALSE,Old,4,4,4,0,,RH 1967,TX-A-100,"Loc. 40, 44, 45, 46",515052.2682,2142829.642,-98.85665742,19.37953831,TX,12705,12705,0,1,0,0,5,0,242,100,"TX-A-100 [TX-A-10], RH 1967, Loc. 40, TX-A-100 [TX-A-10], RH 1967, Loc. 44, TX-A-100 [TX-A-10], RH 1967, Loc. 45, TX-A-100 [TX-A-10], RH 1967, Loc. 46",TX-A-10,"202, 203, 204, 205",FALSE,263,"Loc. 40, Loc. 44, Loc. 45, Loc. 46",4
57,58,TX-A-101,101,1101,TRUE,Old,1,1,1,0,,RH 1967,TX-A-101,Loc. 42,513812.2383,2143423.823,-98.86846188,19.38491702,TX,314,314,0,1,0,0,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,TX-A-105,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,"TX-A-105 [TX-A-8], Loc. 29",TX-A-8,293,FALSE,38,Loc. 29,1
58,59,TX-A-106,106,1106,TRUE,Old,1,1,1,0,,RH 1967,TX-A-106,Loc. 22,504731.6025,2143359.239,-98.95493964,19.38437533,TX,540,540,1,1,1,10,1,50,33,106,"TX-A-106 [TX-A-7], RH 1967, Loc. 22",TX-A-7,207,FALSE,18,Loc. 22,1
59,60,TX-A-107,107,1107,FALSE,Old,3,3,3,0,,RH 1967,TX-A-107,"Tls. 89, 91, 97",502884.4746,2144302.178,-98.97252892,19.39290046,TX,1475,1475,1,1,32,200,32,400,201,107,"TX-A-107 [TX-A-6], RH 1967, Tl. 89, TX-A-107 [TX-A-6], RH 1967, Tl. 91, TX-A-107 [TX-A-6], RH 1967, Tl. 97",TX-A-6,"208, 209, 210",FALSE,75,"Tl. 89, Tl. 91, Tl. 97",3
60,61,TX-A-108,108,1108,TRUE,Old,1,1,1,0,,RH 1967,TX-A-108,Loc. 16,504628.2667,2144754.272,-98.95592034,19.3969829,TX,400,400,1,1,0.1,0,0.1,0,41,108,"TX-A-108 [TX-A-4], RH 1967, Loc. 16",TX-A-4,211,FALSE,18,Loc. 16,1
61,62,TX-A-109,109,1109,FALSE,Old,45,49,45,4,,RH 1967,TX-A-109,"Areas A, C; Locs. 1, 4A, 4B, 5, 9, 10A, 10B, 11, 12, 13, 17; Tls. 1, 2, 7, 8, 8A, 9, 9B, 10, 11, 12, 16, 18, 19, 20, 21, 22, 22-E, 23, 32, 34, 39, 46, 47, 49, 53, 57, 58, 62, 66, 76, 77; 1 collection without location #",506236.4305,2146149.306,-98.9405996,19.40958586,TX,5273,5273,1,1,260,12000,260,12000,965,109,"TX-A-109 [TX-A-3], RH 1967, Area A, TX-A-109 [TX-A-3], RH 1967, Loc. 10A, TX-A-109 [TX-A-3], RH 1967, Loc. 10B, TX-A-109 [TX-A-3], RH 1967, Loc. 11, TX-A-109 [TX-A-3], RH 1967, Loc. 13, TX-A-109 [TX-A-3], RH 1967, Loc. 17, TX-A-109 [TX-A-3], RH 1967, Loc. 4A, TX-A-109 [TX-A-3], RH 1967, Loc. 4B, TX-A-109 [TX-A-3], RH 1967, Loc. 5, TX-A-109 [TX-A-3], RH 1967, Loc. 9, TX-A-109 [TX-A-3], RH 1967, Tl. 10, TX-A-109 [TX-A-3], RH 1967, Tl. 11, TX-A-109 [TX-A-3], RH 1967, Tl. 12, TX-A-109 [TX-A-3], RH 1967, Tl. 16, TX-A-109 [TX-A-3], RH 1967, Tl. 18, TX-A-109 [TX-A-3], RH 1967, Tl. 19, TX-A-109 [TX-A-3], RH 1967, Tl. 2, TX-A-109 [TX-A-3], RH 1967, Tl. 20, TX-A-109 [TX-A-3], RH 1967, Tl. 21, TX-A-109 [TX-A-3], RH 1967, Tl. 22, TX-A-109 [TX-A-3], RH 1967, Tl. 22E, TX-A-109 [TX-A-3], RH 1967, Tl. 23, TX-A-109 [TX-A-3], RH 1967, Tl. 32, TX-A-109 [TX-A-3], RH 1967, Tl. 34, TX-A-109 [TX-A-3], RH 1967, Tl. 39, TX-A-109 [TX-A-3], RH 1967, Tl. 46, TX-A-109 [TX-A-3], RH 1967, Tl. 47, TX-A-109 [TX-A-3], RH 1967, Tl. 49, TX-A-109 [TX-A-3], RH 1967, Tl. 53, TX-A-109 [TX-A-3], RH 1967, Tl. 57, TX-A-109 [TX-A-3], RH 1967, Tl. 58, TX-A-109 [TX-A-3], RH 1967, Tl. 62, TX-A-109 [TX-A-3], RH 1967, Tl. 66, TX-A-109 [TX-A-3], RH 1967, Tl. 7, TX-A-109 [TX-A-3], RH 1967, Tl. 77, TX-A-109 [TX-A-3], RH 1967, Tl. 8A, TX-A-109 [TX-A-3], RH 1967, Tl. 8, TX-A-109 [TX-A-3], RH 1967, Tl. 9, TX-A-109 [TX-A-3], RH 1967, Tl. 9B",TX-A-3,"212, 219, 220, 221, 223, 224, 215, 216, 217, 218, 232, 233, 234, 235, 236, 237, 226, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 227, 255, 229, 228, 230, 231",TRUE,998,"Area A, Loc. 10A, Loc. 10B, Loc. 11, Loc. 13, Loc. 17, Loc. 4A, Loc. 4B, Loc. 5, Loc. 9, Tl. 10, Tl. 11, Tl. 12, Tl. 16, Tl. 18, Tl. 19, Tl. 2, Tl. 20, Tl. 21, Tl. 22, Tl. 22E, Tl. 23, Tl. 32, Tl. 34, Tl. 39, Tl. 46, Tl. 47, Tl. 49, Tl. 53, Tl. 57, Tl. 58, Tl. 62, Tl. 66, Tl. 7, Tl. 77, Tl. 8A, Tl. 8B, Tl. 9, Tl. 9B",39
76,NA,TX-A-109b,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-A-109b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.5,"TX-A-109 [TX-A-3], RH 1967, Area B, TX-A-109 [TX-A-3], RH 1967, Loc. 7, TX-A-109 [TX-A-2], RH 1967, Tl. 1, TX-A-109 [TX-A-3], RH 1967, Tl. 4","TX-A-3, TX-A-2","291, 290, 289, 292",FALSE,45,"Area B, Loc. 7, Tl. 1, Tl. 4",4
62,63,TX-A-110,110,1110,FALSE,Old,2,2,2,0,,RH 1967,TX-A-110,"Tls. 3, 6",509310.6713,2148112.687,-98.91130865,19.42731752,TX,316,250,1,1,17,125,17,250,21,110,"TX-A-110 [TX-A-1], RH 1967, Tl. 3, TX-A-110 [TX-A-1], RH 1967, Tl. 6",TX-A-1,"257, 258",FALSE,49,"Tl. 3, Tl. 6",2
